# 02AggregateData2Daily.R; alles mean
%	 351
%	 16
% Key	Time	nnit13	GWl3	GWl25	GWl32	Wt13	Wt18	sol71	con47	At47	Smoist24	St24	q13	q18	rain	
117	2013-07-11	3.25898571428571	0.919356833214286	1.32891071428571	0.472799808946429	14.3682142857143	15.04625	327.40575	0.0436160714285714	17.0516071428571	0.2315	15.7357142857143	2.008106875	1.81340121428571	0
118	2013-07-12	3.29016458333333	0.922897889520833	1.33851041666667	0.480319226677083	13.6515625	14.2578125	302.070583333333	0.0436739583333333	16.11409375	0.227916666666667	14.7708333333333	2.08837678125	1.91838878125	0
119	2013-07-13	3.28757604166667	0.928388097020833	1.3515625	0.489451242427083	13.9930208333333	14.6545833333333	280.659385416667	0.0425572916666667	17.0644791666667	0.224416666666667	15.0208333333333	2.0106019375	1.87090365625	0
120	2013-07-14	3.265921875	0.938619745916667	1.36498958333333	0.501900443385417	14.3776041666667	15.0626041666667	320.981354166667	0.0432927083333333	17.8567708333333	0.22175	15.2541666666667	2.01450376041667	1.8194285625	0
121	2013-07-15	3.35773125	0.952340801083333	1.379875	0.515569197729167	14.425	15.0722916666667	294.65615625	0.0500145833333333	17.9678125	0.219125	15.375	1.91978066666667	1.72517680208333	0
122	2013-07-16	3.40733125	0.959961253729167	1.39425	0.528506220041667	14.7360416666667	15.4164583333333	312.987614583333	0.04374375	19.0376041666667	0.216958333333333	15.4208333333333	1.84048420833333	1.71657977083333	0
123	2013-07-17	3.42499789473684	0.962752272473684	1.41252631578947	0.542907528010526	15.2591578947368	15.7751578947368	327.488589473684	0.0441578947368421	19.7521052631579	0.215905263157895	15.6105263157895	1.78131511578947	1.65465932631579	0
124	2013-07-18	3.383409375	0.9806974135	1.43098958333333	0.557590129177083	16.0357291666667	16.6909375	321.4773125	0.0444239583333333	21.0346875	0.214333333333333	16.0291666666667	1.64069921875	1.54984111458333	0
125	2013-07-19	3.27138541666667	1.00104801746875	1.44370833333333	0.5698149323125	15.9796875	16.7076041666667	347.542802083333	0.04461875	20.5138541666667	0.212375	15.9416666666667	1.56779407291667	1.49112260416667	0
126	2013-07-20	3.17718210526316	1.0159917846	1.45801052631579	0.581742626568421	15.6188421052632	16.4194736842105	337.125915789474	0.0445589473684211	18.7106315789474	0.210536842105263	15.6789473684211	1.51823306315789	1.41545024210526	0
127	2013-07-21	3.25575473684211	1.03136332282105	1.47114736842105	0.590389080347368	15.9822105263158	16.8370526315789	345.935168421053	0.0447821052631579	21.5070526315789	0.209410526315789	15.8063157894737	1.49308301052632	1.49477170526316	0
128	2013-07-22	3.32720208333333	1.03837845339583	1.47984375	0.599006162145833	16.4479166666667	17.2253125	307.90396875	0.0449145833333333	23.0397916666667	0.207833333333333	16.325	1.44236664583333	1.40517788541667	0
129	2013-07-23	3.27113854166667	1.05058366214583	1.49110416666667	0.594323077145833	16.8088541666667	17.6179166666667	229.384354166667	0.039859375	22.3034375	0.205666666666667	17.1666666666667	1.47571138541667	1.44154780208333	2.4
130	2013-07-24	3.26492604166667	1.07120911960417	1.50470833333333	0.57124912709375	16.7180208333333	17.3144791666667	181.159083333333	0.036896875	20.7390625	0.205166666666667	17.4708333333333	1.5482480625	1.54332648958333	0
131	2013-07-25	3.24898307692308	1.08453658773846	1.5144	0.569039521507692	16.1918461538462	16.6855384615385	287.365584615385	0.0418215384615385	20.3558461538462	0.208046153846154	16.8646153846154	1.53385227692308	1.51612967692308	7.08923076923077
132	2013-07-26	2.46985714285714	0.991178653571429	1.46028571428571	0.397519217571429	17.4842857142857	17.5485714285714	218.214285714286	0.0322428571428571	26.5942857142857	0.256857142857143	18.0142857142857	2.12135685714286	1.93390614285714	0
133	2013-07-30	2.967845	0.988780012	1.52516006836667	0.533732541	16.9171666666667	17.2256666666667	276.073416666667	0.044185	20.9933333333333	0.2448	17.3733333333333	0.96182435	2.1915874	1.44
134	2013-07-31	2.91080520833333	1.00157481978125	1.53515909104167	0.542702643145833	16.7342708333333	16.9559375	161.92475	0.043703125	20.1271875	0.241791666666667	17.3916666666667	1.08556346875	2.3739686875	1.5
135	2013-08-01	2.86684895833333	1.0173779360625	1.54444681117708	0.559782230364583	16.7925	17.05375	307.676479166667	0.044171875	21.7195833333333	0.240875	17.225	0.88402309375	2.09317375	0
136	2013-08-02	2.88079052631579	1.04074016341053	1.55438626421053	0.583342908189474	17.508	17.8168421052632	311.866	0.0448305263157895	24.1433684210526	0.238294736842105	17.6589473684211	0.667736221052632	1.85845647368421	0
137	2013-08-03	3.01304421052632	1.09112127387368	1.57848384488421	0.611947542968421	18.0547368421053	18.244	208.509610526316	0.0451484210526316	22.9218947368421	0.234042105263158	17.9831578947368	0.584992052631579	1.75935704210526	0
138	2013-08-04	3.03356875	1.111699415375	1.58930407484375	0.62663326075	17.5130208333333	17.6946875	271.949208333333	0.045284375	21.516875	0.2295	17.8083333333333	0.534064572916667	1.62152810416667	0
139	2013-08-05	3.16963125	1.11196949691667	1.59209777047917	0.63767588046875	16.9015625	17.1785416666667	291.597677083333	0.0457802083333333	21.8935416666667	0.224958333333333	17.125	0.50261334375	1.49565291666667	0
140	2013-08-06	2.93170744680851	1.14018024612766	1.60104656864894	0.636527893297872	17.6439361702128	17.8801063829787	210.676638297872	0.0432340425531915	20.6220212765957	0.21963829787234	17.6095744680851	0.910173276595745	1.96895705319149	6.74042553191489
141	2013-08-07	2.78003020833333	1.14625554991667	1.598201731875	0.597412661114583	16.9291666666667	17.1857291666667	147.56309375	0.037934375	19.5278125	0.216875	17.1791666666667	0.90955528125	2.04247532291667	2.4
142	2013-08-08	2.69869263157895	1.18768354192632	1.61760246373684	0.599458434063158	16.6792631578947	16.9247368421053	146.693642105263	0.0416557894736842	17.9172631578947	0.220842105263158	17.26	0.820610305263158	2.01493476842105	0
143	2013-08-09	2.87141770833333	1.19884034972917	1.62543235746875	0.60874874453125	15.6090625	15.8897916666667	193.32759375	0.0437770833333333	17.3564583333333	0.223041666666667	16.35	0.729638947916667	1.75517325	0
144	2013-08-10	3.00360208333333	1.19773425575	1.63138872747917	0.62524978903125	15.5392708333333	15.8361458333333	234.273697916667	0.04485625	17.7642708333333	0.222125	16.0041666666667	0.622082208333333	1.5723395	0
145	2013-08-11	3.18258020833333	1.2056973694375	1.63873667415625	0.64939765903125	14.5720833333333	14.9184375	267.658739583333	0.0452635416666667	15.9964583333333	0.220208333333333	15.4541666666667	0.50660571875	1.3205246875	0
146	2013-08-12	3.05472395833333	1.21634316680208	1.6326748816875	0.660934974697917	14.1911458333333	14.6285416666667	140.841822916667	0.0447177083333333	15.1151770833333	0.217708333333333	14.8833333333333	0.890297447916667	1.86167302083333	7.2
147	2013-08-13	3.22492947368421	1.24729201137895	1.63379535616842	0.645898600894737	14.5512631578947	14.8548421052632	213.099084210526	0.0393926315789474	15.3708421052632	0.223094736842105	15.0515789473684	0.719693021052632	1.59254074736842	0
148	2013-08-14	3.37213010752688	1.26298066017204	1.64694738453763	0.652670117354839	13.2620430107527	13.797311827957	190.576591397849	0.0427139784946237	14.105688172043	0.224741935483871	14.0440860215054	0.669912344086022	1.41694319354839	0
149	2013-08-15	3.37555578947368	1.25975396098947	1.65086181237895	0.654329173052632	13.8116842105263	14.2002105263158	232.534978947368	0.0443663157894737	16.1668631578947	0.222821052631579	14.0968421052632	0.555778684210526	1.39187102105263	0
150	2013-08-16	3.3910987654321	1.24905690732099	1.65337399916049	0.660263889987654	14.0065432098765	14.4048148148148	284.555222222222	0.0453135802469136	18.6658271604938	0.220543209876543	14.0913580246914	0.467160024691358	1.25526891358025	0
151	2013-08-21	3.12830625	1.327445019125	1.69467384003125	0.70161742790625	14.925	15.298125	70.58534375	0.04399375	15.7178125	0.21575	14.84375	0.36430328125	1.15883803125	0
152	2013-08-22	3.17392272727273	1.31347148242045	1.69581815305682	0.692792936397727	13.93375	14.3756818181818	222.258920454545	0.0452454545454545	16.1157840909091	0.214227272727273	14.1090909090909	0.458579897727273	1.24078419318182	0
153	2013-08-23	3.227528125	1.29422306861458	1.7028967931875	0.7038561366875	14.7648958333333	15.0832291666667	168.748177083333	0.045840625	17.2695833333333	0.213583333333333	14.6791666666667	0.409019270833333	1.1475941875	0
154	2013-08-24	3.28954166666667	1.28608180916667	1.69995199198611	0.704219472694444	13.9320833333333	14.3843055555556	217.410208333333	0.0460805555555556	16.9333333333333	0.212055555555556	14.0736111111111	0.482410055555556	1.295229	4.8
155	2013-08-25	3.00552	1.28750726562857	1.70085280197143	0.693413620285714	14.544	14.8968571428571	19.2189142857143	0.0391714285714286	14.2817142857143	0.208657142857143	14.6828571428571	0.768825485714286	1.63755297142857	1.64571428571429
156	2013-09-10	2.96396903846154	1.31443926805769	1.75536096473077	0.597149896615385	13.1905769230769	13.3934615384615	84.7275384615385	0.0272692307692308	11.9782692307692	0.263307692307692	13.8615384615385	6.43903209615385	4.58693023076923	3.87692307692308
157	2013-09-11	2.83811913978495	1.29293193236559	1.74413014264516	0.571488362322581	12.7712903225806	13.1035483870968	90.6093548387097	0.0320537634408602	12.218064516129	0.262086021505376	13.3709677419355	3.1466263655914	3.81058797849462	4.95483870967742
158	2013-09-12	2.581071875	1.29984362402083	1.7485236879375	0.56937882	13.0113541666667	13.303125	91.434875	0.0379635416666667	12.8377083333333	0.260083333333333	13.4	2.30024002083333	3.15521195833333	0
159	2013-09-13	2.66718333333333	1.29408487227083	1.7649554485625	0.573310152	13.25125	13.5660416666667	95.0318958333333	0.04294375	13.7708333333333	0.255416666666667	13.6041666666667	1.32718513541667	2.19627091666667	0
160	2013-09-14	2.65560104166667	1.23333685419792	1.760781169	0.558343152	13.6113541666667	13.915	61.8828854166667	0.044453125	14.6734375	0.255	13.6833333333333	1.39435445833333	2.18514933333333	1.5
161	2013-09-15	2.70922083333333	1.19769076458333	1.762924442125	0.543775272	13.199375	13.4928125	104.822302083333	0.043571875	13.7432291666667	0.256083333333333	13.6416666666667	1.30547240625	1.95986571875	0
162	2013-09-16	2.70326770833333	1.16118584332292	1.756637507625	0.533448042	12.7460416666667	13.070625	110.988395833333	0.0447989583333333	12.0981145833333	0.253875	13.5125	1.44257894791667	2.17747367708333	3
163	2013-09-17	2.80849583333333	1.18782107248958	1.770068685875	0.538257438	11.0854166666667	11.6126041666667	167.85621875	0.0451354166666667	9.84228125	0.252833333333333	12.4333333333333	1.21208557291667	1.84168746875	2.7
164	2013-09-18	2.62852916666667	1.16435321410417	1.769007255375	0.521514354	12.0053125	12.3408333333333	52.995125	0.0431302083333333	11.4760416666667	0.259083333333333	12.5208333333333	1.61887009375	2.24885932291667	0.9
165	2013-09-19	2.73801770833333	1.22923736501042	1.7964615635	0.532530066	11.5380208333333	11.9473958333333	88.3376979166667	0.0444822916666667	11.2668125	0.252666666666667	12.3625	1.23262851041667	1.830895375	0.3
166	2013-09-20	2.76987395833333	1.22983625690625	1.804891771125	0.537419286	12.1660416666667	12.4844791666667	58.41571875	0.04560625	12.86875	0.24625	12.5958333333333	1.08212139583333	1.59732047916667	0.6
167	2013-09-21	2.79573541666667	1.26389179042708	1.8184556281875	0.555150192	12.0734375	12.4526041666667	136.76396875	0.0463364583333333	12.4051666666667	0.246666666666667	12.5875	0.848723541666667	1.401321625	0
168	2013-09-22	2.84764193548387	1.23783787015054	1.82115365019355	0.555276365419355	12.0021505376344	12.3421505376344	79.8707096774194	0.0526301075268817	12.8531397849462	0.245924731182796	12.3784946236559	0.877822580645161	1.41506566666667	0
169	2013-09-23	2.72952105263158	1.19180120515789	1.81775463284211	0.549168433515789	13.0393684210526	13.3002105263158	67.7900210526316	0.0520631578947368	14.6375789473684	0.244210526315789	13.1663157894737	1.03020474736842	1.62752484210526	0
170	2013-09-24	2.27355348837209	1.1472383657907	1.80819426306977	0.533335963534884	12.8141860465116	13.0241860465116	101.890139534884	0.0466232558139535	13.8344186046512	0.243	13.1139534883721	1.447682	2.05190720930233	0
171	2014-04-26	1.983025	0.793337985	1.47591370075	0.535706	11.835	11.8425	NaN	0.0441	9.69	0.23	12.8	19.19924275	3.2767415	0
172	2014-04-27	1.57886947916667	0.790050677604167	1.46940400582292	0.445704028645833	11.5611458333333	11.6125	98.649075	0.0320822916666667	11.568125	0.227208333333333	12.175	17.9718269270833	7.16908636458333	11.1
173	2014-04-28	1.52861111111111	0.797957418555556	1.48069791614444	0.4464883	11.0741111111111	11.1711111111111	61.4934	0.04012	11.7634444444444	0.230633333333333	11.67	8.2739699	4.92596305555556	0.64
174	2014-04-29	1.37701348314607	0.797628112134831	1.47777167448315	0.423112255617978	11.7726966292135	11.8485393258427	68.7547752808989	0.0402112359550562	13.4831460674157	0.240067415730337	12.2247191011236	7.43621941573034	7.07117125842697	6.79550561797753
